timestamp,pnl,equity,drawdown,reason
1771916160.0571587,9.322894250000009e-05,0.0373848059425,0.0,take_profit
1771916229.055789,9.322894250000009e-05,0.037478034885000004,0.0,take_profit
1771916298.2597055,9.322894250000009e-05,0.03757126382750001,0.0,take_profit
1771916627.6308944,9.322894250000009e-05,0.0373848059425,0.0,take_profit
1771916696.6169744,9.322894250000009e-05,0.037478034885000004,0.0,take_profit
1771916915.5452385,9.322894250000009e-05,0.0373848059425,0.0,take_profit
1771916984.6654932,9.322894250000009e-05,0.037478034885000004,0.0,take_profit
1771917185.2059696,1.6665673197173331e-06,0.037293243567319716,0.0,time_exit
1771917312.7420185,3.336246664934067e-06,0.03729657981398465,0.0,time_exit
1771917716.3308368,-2.072653127497648e-06,0.0369979273468725,5.601765209446831e-05,time_exit
1771917731.4635565,2.020150170452344e-06,0.036999947497042954,1.4189988390392841e-06,time_exit
1771917746.5892832,-1.2043428910432418e-06,0.03699874315415191,3.396880670516347e-05,time_exit
1771917761.7191668,-1.2678899971973777e-06,0.03699747526415471,6.823610392678989e-05,time_exit
1771917776.8586037,-1.1660957586912319e-05,0.0369858143065678,0.00038339711978920113,time_exit
1771917791.9937036,-1.7144299648667437e-06,0.03698409987660293,0.00042973306478566453,time_exit
1771917807.1225662,-1.577718275204536e-06,0.03698252215832772,0.0004723740992506864,time_exit
1771917822.26016,7.919310606618428e-06,0.03699044146893434,0.00025833867745017614,time_exit
1771917837.3894348,-3.846300616379743e-06,0.03698659516831796,0.00036229274816317085,time_exit
1771917847.5191617,-7.966761346481695e-06,0.03697862840697148,0.0005776106223924681,stop_loss
1771917862.641336,5.840320680753041e-06,0.03698446872765223,0.00041976411750725733,time_exit
1771917980.839168,6.192669211749729e-06,0.03700619266921175,0.0,time_exit
1771918016.0194128,4.192514654527555e-06,0.037010385183866276,0.0,time_exit
1771918051.178575,4.392381644379473e-07,0.037010824422030714,0.0,time_exit
1771918086.3497674,8.88064306685676e-06,0.03701970506509757,0.0,time_exit
1771918121.5014195,6.649149900036813e-06,0.03702635421499761,0.0,time_exit
1771918156.672413,2.779644835597561e-06,0.0370291338598332,0.0,time_exit
1771918191.8273609,5.59821807197074e-07,0.0370296936816404,0.0,time_exit
1771918226.9814067,-3.749878753324509e-07,0.037029318693765065,1.0126680456998816e-05,time_exit
1771918262.141483,1.9994336029103855e-06,0.03703131812736798,0.0,time_exit
1771918297.3090763,-2.2788728259784818e-06,0.037029039254542,6.153906858355523e-05,time_exit
1771918322.4542735,7.832858081693615e-06,0.037036872112623694,0.0,take_profit
1771918357.6341853,-6.372747675909629e-07,0.037036234837856105,1.7206495344707934e-05,time_exit
